운동명,운동유형,난이도,추천시간,예상칼로리,운동부위,준비물,주의사항
걷기,유산소,초급,30분,150,전신,운동화,없음
조깅,유산소,중급,40분,300,전신,운동화,무릎 통증이 있는 경우 주의
달리기,유산소,고급,30분,400,전신,운동화,충분한 준비운동 필요
스쿼트,근력운동,초급,20분,200,하체,없음,무릎이 발끝을 넘어가지 않도록 주의
푸쉬업,근력운동,중급,15분,150,상체,매트,손목 부상에 주의
플랭크,근력운동,초급,10분,100,코어,매트,허리를 곧게 유지
런지,근력운동,중급,25분,250,하체,없음,무릎 각도 90도 유지
줄넘기,유산소,중급,20분,250,전신,줄넘기,충분한 준비운동 필요
요가,스트레칭,초급,40분,150,전신,요가매트,과도한 자세 금지
필라테스,스트레칭,중급,50분,200,코어,필라테스매트,정확한 자세 유지 필수
버피테스트,유산소,고급,15분,300,전신,없음,체력 조절 필수
덤벨컬,근력운동,중급,20분,180,상체,덤벨,무게 적절히 조절
윗몸일으키기,근력운동,초급,15분,120,코어,매트,목 부상 주의
자전거,유산소,중급,45분,350,하체,자전거,안전장비 착용
수영,유산소,고급,40분,400,전신,수영복,준비운동 필수
